created_time,modified_time,name,owner_id,parent_token,token,type,url,shortcut_info.target_token,shortcut_info.target_type,is_downloaded
1701142974,1701142999,测试方案及报告,ou_d8514d70d4a38ccff9b5bd4a44a00369,Z33KfaWU6l9khHddDILclJSmnsX,EFFZfbXRRlttVtdnZ7Oc8B8ln8e,folder,https://motiong.feishu.cn/drive/folder/EFFZfbXRRlttVtdnZ7Oc8B8ln8e,nan,nan,2.0
1698200973,1699413005,项目启动信息,ou_a753179085cd683f578489a415f7052f,Z33KfaWU6l9khHddDILclJSmnsX,Fc1df5aixl5aKgd3gFIcmAR7npg,folder,https://motiong.feishu.cn/drive/folder/Fc1df5aixl5aKgd3gFIcmAR7npg,nan,nan,2.0
1699856121,1719387857,CN-N-22-C-HY-XS02使用手册,ou_37b08be8df9c413e81ea647e763c1897,Z33KfaWU6l9khHddDILclJSmnsX,nodcny1gdMBtDjCMgU2Y4RRyWTf,shortcut,https://motiong.feishu.cn/docx/B7X1d22I8o7S5oxhghEcWfyZnvf,B7X1d22I8o7S5oxhghEcWfyZnvf,docx,2.0
1701158594,1701674778,CN-N-22-C-HY-XS02-产品发布确认流程check List ,ou_a753179085cd683f578489a415f7052f,Z33KfaWU6l9khHddDILclJSmnsX,O4FCsftgzhOKNQtBdO0c0aaunqh,sheet,https://motiong.feishu.cn/sheets/O4FCsftgzhOKNQtBdO0c0aaunqh,nan,nan,1.0
1701157826,1701161357,2023年11月28日 CN-N-22-C-HY-XS02项目（新松半导体晶圆搬运项目）UT评审会议纪要,ou_d8514d70d4a38ccff9b5bd4a44a00369,Z33KfaWU6l9khHddDILclJSmnsX,R0dxdZambolaeNx38VOcRD2bn5d,docx,https://motiong.feishu.cn/docx/R0dxdZambolaeNx38VOcRD2bn5d,nan,nan,1.0
1698649570,1698649570,接口板参考设计.pdf,ou_d8514d70d4a38ccff9b5bd4a44a00369,Z33KfaWU6l9khHddDILclJSmnsX,HVKgbC2Sqocv5nxFOz5cXvFhnhd,file,https://motiong.feishu.cn/file/HVKgbC2Sqocv5nxFOz5cXvFhnhd,nan,nan,1.0
1698291210,1698291212,DG3结构图纸.zip,ou_d8514d70d4a38ccff9b5bd4a44a00369,Z33KfaWU6l9khHddDILclJSmnsX,W9BvbfuqKoNxNXxRzFaclGaRnif,file,https://motiong.feishu.cn/file/W9BvbfuqKoNxNXxRzFaclGaRnif,nan,nan,1.0
1680424698,1688882923,性能调试专题详解,ou_a753179085cd683f578489a415f7052f,Z33KfaWU6l9khHddDILclJSmnsX,nodcngO0yvsCO2oKhyM1PLf8Meb,shortcut,https://motiong.feishu.cn/docx/FCnWdpoWfoDXkCxJyrLc1eMmnWc,FCnWdpoWfoDXkCxJyrLc1eMmnWc,docx,1.0
1685323344,1712631293,驱动器开发,ou_d8514d70d4a38ccff9b5bd4a44a00369,JXkMfF75MlUrI6dIsXkcvvVpnVb,fldcnHB85HhnYkql2zTddfsu3sb,folder,https://motiong.feishu.cn/drive/folder/fldcnHB85HhnYkql2zTddfsu3sb,nan,nan,2.0
1698200794,1701657603,CN-N-22-C-HY-XS02项目（新松半导体晶圆搬运项目）,ou_d8514d70d4a38ccff9b5bd4a44a00369,JXkMfF75MlUrI6dIsXkcvvVpnVb,Z33KfaWU6l9khHddDILclJSmnsX,folder,https://motiong.feishu.cn/drive/folder/Z33KfaWU6l9khHddDILclJSmnsX,nan,nan,2.0
1700203328,1700203348,工具开发,ou_d8514d70d4a38ccff9b5bd4a44a00369,JXkMfF75MlUrI6dIsXkcvvVpnVb,Ga7yfqFWFlFQrudKKMscW6J1nbh,folder,https://motiong.feishu.cn/drive/folder/Ga7yfqFWFlFQrudKKMscW6J1nbh,nan,nan,2.0
1700203227,1700203297,项目文件,ou_d8514d70d4a38ccff9b5bd4a44a00369,JXkMfF75MlUrI6dIsXkcvvVpnVb,RE2DfUPTNlgMNVdVXWfcbcDWnhg,folder,https://motiong.feishu.cn/drive/folder/RE2DfUPTNlgMNVdVXWfcbcDWnhg,nan,nan,2.0
